Name,Address,Website,Plus-code,lat,lon
Express Car Wash,"397 Cabramatta Rd W, Cabramatta NSW 2166, Australia ",,"4W2C+95 Cabramatta, New South Wales, Australia",-33.899016,150.920402
Glow Car Wash Cabramatta,"208 Cabramatta Rd W, Cabramatta NSW 2166, Australia ",https://www.facebook.com/pages/Glow-Carwash-Cafe/165227973488630,"4W3P+GH Cabramatta, New South Wales, Australia",-33.8962021,150.9364384
Royale Car Wash,"329 Cabramatta Rd W, Cabramatta NSW 2166, Australia ",https://www.instagram.com/memocarwash_cafe/,"4W3G+7R Cabramatta, New South Wales, Australia",-33.8968407,150.9270393
Golden Crown Car Wash Cafe,"74 Railway Pde, Canley Vale NSW 2166, Australia ",http://www.goldencrowncarwashcafe.com.au/,"4W8W+RQ Canley Vale, New South Wales, Australia",-33.882934,150.946903
Super Shine Carwash,"324 Hume Hwy, Liverpool NSW 2170, Australia ",https://www.supershinecarwash.com.au/,"3W99+Q5 Liverpool, New South Wales, Australia",-33.930549,150.9179786
Day n Nite Hand Car Wash - Burger & Cafe,"346 Elizabeth Dr, Mount Pritchard NSW 2170, Australia ",,"3VWW+JP Mount Pritchard, New South Wales, Australia",-33.903433,150.896771
Wash & Co - Carwash and Café,"391/395 Newbridge Rd, Moorebank NSW 2170, Australia ",http://www.washandco.com.au/,"3WCJ+QR Moorebank, New South Wales, Australia",-33.9280652,150.9320643
Plaza Wash - Car Wash & Detailing,"Aldi Rooftop Car Park, Access from, 158 Northumberland St, Liverpool NSW 2170, Australia ",https://www.instagram.com/plaza_wash/,"3WHF+G9 Liverpool, New South Wales, Australia",-33.9211661,150.9234676
IMO Car Wash,"23 Bathurst St, Liverpool NSW 2170, Australia ",https://www.imocarwash.com/au/car-washes/liverpool-new-south-wales/liverpool-car-wash/?y_source=1_MTIyNzE1MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"3WHC+XG Liverpool, New South Wales, Australia",-33.9200084,150.9213377
Elite Mobile Detailing,"Townview Rd, Mount Pritchard NSW 2170, Australia ",http://www.instagram.com/elitedetailingg,"4W29+HV Mount Pritchard, New South Wales, Australia",-33.8985126,150.9197099
Smileys Detailing & Co,"252 Hume Hwy, Lansvale NSW 2166, Australia ",,"4X22+9Q Lansvale, New South Wales, Australia",-33.8990602,150.9518822
Chipping Norton Galaxy Car Wash,"45 Barry Rd, Chipping Norton NSW 2170, Australia ",,"3XP6+3V Chipping Norton, New South Wales, Australia",-33.9148336,150.9622108
Star Car Wash - Westfield Liverpool,"Bathurst St, Liverpool NSW 2170, Australia ",https://www.starcarwash.com.au/centres/liverpool/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"3WJC+JW Liverpool, New South Wales, Australia",-33.9183896,150.9223282
My VIP Carwash,"Red Myer carparking, Level 4/25 Campbell St, Liverpool NSW 2170, Australia ",https://www.myvipcarwash.com.au/,"3WJG+PR Liverpool, New South Wales, Australia",-33.9181874,150.9270467
Car Lovers,"Unit 312/314 Hume Hwy, Liverpool NSW 2170, Australia ",,"3W99+X7 Liverpool, New South Wales, Australia",-33.9300342,150.9181822
Soft Wash,"468 Cabramatta Rd W, Mount Pritchard NSW 2170, Australia ",,"4W27+X5 Mount Pritchard, New South Wales, Australia",-33.8975925,150.9128817
Quick & Clean Hand Carwash,"572 Hume Hwy, Casula NSW 2170, Australia ",,"2WX3+MQ Casula, New South Wales, Australia",-33.950771,150.9043996
Dandan car wash,"Smart St, Fairfield NSW 2165, Australia ",,"4XJ4+2C Fairfield, New South Wales, Australia",-33.8699739,150.9561224
One World Hand Car Wash & Cafe,"358 Hoxton Park Rd, Prestons NSW 2170, Australia ",http://www.oneworldcarwash.com.au/,"3VCJ+MH Prestons, New South Wales, Australia",-33.9282712,150.8813822
Soft Wash,"468 Cabramatta Rd W, Mount Pritchard NSW 2170, Australia ",,"4W27+X5 Mount Pritchard, New South Wales, Australia",-33.8975925,150.9128817
5 Steps Car Wash,"930-932 Woodville Rd, Villawood NSW 2163, Australia ",http://www.fivestepscarwash.com.au/,"4X7F+FQ Villawood, New South Wales, Australia",-33.8863552,150.9744618
Splash City Car Wash,"163 The Boulevarde, Fairfield Heights NSW 2165, Australia ",,"4WMQ+93 Fairfield Heights, New South Wales, Australia",-33.8666116,150.9377161
IMO Car Wash,"23 Bathurst St, Liverpool NSW 2170, Australia ",https://www.imocarwash.com/au/car-washes/liverpool-new-south-wales/liverpool-car-wash/?y_source=1_MTIyNzE1MzktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"3WHC+XG Liverpool, New South Wales, Australia",-33.9200084,150.9213377
Rinse and Sparkle CarWash,"219 Hoxton Park Rd, Cartwright NSW 2168, Australia ",,"3VFR+6F Cartwright, New South Wales, Australia",-33.9269034,150.8912187
