Name,Address,Website,Plus-code,lat,lon
Flawless Auto Detailing,"8 Slapp St, Merrylands NSW 2160, Australia ",https://flawlessautodetail.com.au/,"5XFJ+VF Merrylands, New South Wales, Australia",-33.8253164,150.981173
A1 Car Detailing,"56 Forge St, Blacktown NSW 2148, Australia ",,"6WX7+7Q Blacktown, New South Wales, Australia",-33.7518377,150.9144972
KrakaKlean,"89C Metella Rd, Toongabbie NSW 2146, Australia ",,"6W5Q+88 Toongabbie, New South Wales, Australia",-33.7917066,150.9383343
Best Value Carwash,"88 Victoria Rd (Corner, Buller St, Parramatta NSW 2150, Australia ",,"52R6+GX Parramatta, New South Wales, Australia",-33.8086528,151.0123905
Revive Ride Detailing,"1/4 N Rocks Rd, North Parramatta NSW 2151, Australia ",,"6252+2C North Parramatta, New South Wales, Australia",-33.7924924,151.0011199
Direct Auto Detailing,"1/13 Bearing Rd, Seven Hills NSW 2147, Australia ",http://www.directautodetailing.com.au/,"6XG4+JP Seven Hills, New South Wales, Australia",-33.773489,150.956831
Auto Detailing Doctors,"Unit 92/14 Loyalty Rd, North Rocks NSW 2151, Australia ",http://www.autodetailingdoctors.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=website,"62F6+QF North Rocks, New South Wales, Australia",-33.7756062,151.0111328
Prime Car Wash - Schofields,"227 Railway Terrace, Schofields NSW 2762, Australia ",,"7VVG+M9 Schofields, New South Wales, Australia",-33.7057889,150.8759664
Alldun Pty Ltd,"45 Macquarie St, Parramatta NSW 2150, Australia ",https://www.alldun.com.au/,"52P2+3F Parramatta, New South Wales, Australia",-33.8148372,151.0012464
Gloss And Shine,"91B Bridge Rd, Westmead NSW 2145, Australia ",,"5XVJ+3R Westmead, New South Wales, Australia",-33.8072519,150.9821169
Fine Shine,"2/4 Defries Ave, Zetland NSW 2017, Australia ",http://www.fineshine.com.au/,"36V7+V5 Zetland, New South Wales, Australia",-33.905273,151.2129307
Sky Blue Hand Car Wash,"86 Kenthurst Rd, Kenthurst NSW 2156, Australia ",http://www.skybluehandcarwash.weebly.com/,"8296+48 Kenthurst, New South Wales, Australia",-33.6821972,151.010796
A1 Hand Carwash,"2a Kenthurst Rd, Kenthurst NSW 2156, Australia ",,"8296+76 Kenthurst, New South Wales, Australia",-33.6818154,151.010579
